 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
7
#Number of plot points
500
#Number of Measures
12
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
i_avg,i_peak,p_avg,p_max,pdp,tp_avg,tp_cout_fall,tp_cout_rise,tp_max,tp_s7_fall,tp_s7_rise,vdd_actual,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-0.0002250821,-0.002183994,8.091318e-05,0.002815588,1.159756e-13,7.454863e-10,7.450579e-10,7.803519e-10,7.803519e-10,7.509556e-10,7.055799e-10,0.6473504,-3.090232,-4.757181,-2.353073
-0.0002164239,-0.002165976,8.095154e-05,0.003133496,1.159813e-13,7.487134e-10,7.48688e-10,7.834139e-10,7.834139e-10,7.537738e-10,7.089781e-10,0.7222403,-2.747781,-3.519869,-2.233149
-0.0002113863,-0.002155976,8.111401e-05,0.003147026,1.160053e-13,7.507209e-10,7.509219e-10,7.853244e-10,7.853244e-10,7.555627e-10,7.110746e-10,0.7251211,-2.575829,-3.144409,-2.146293
-0.0001770629,-0.00209219,8.258786e-05,0.003168835,1.160112e-13,7.686559e-10,7.712152e-10,8.022289e-10,8.022289e-10,7.71133e-10,7.300463e-10,0.7301004,-2.457263,-2.930392,-2.076829
-0.0001729943,-0.002077549,8.306732e-05,0.003283043,1.160241e-13,7.716144e-10,7.74547e-10,8.050299e-10,8.050299e-10,7.737269e-10,7.331535e-10,0.7549772,-2.365618,-2.781404,-2.018324
-0.0001656466,-0.002056017,8.416745e-05,0.003308848,1.160455e-13,7.77642e-10,7.814138e-10,8.106681e-10,8.106681e-10,7.789328e-10,7.395536e-10,0.7604393,-2.290368,-2.667079,-1.967443
-0.0001603217,-0.002027207,8.42115e-05,0.003359427,1.161573e-13,7.828097e-10,7.873125e-10,8.154967e-10,8.154967e-10,7.833527e-10,7.450769e-10,0.7713488,-2.226212,-2.574184,-1.92221
-0.0001546904,-0.002022462,8.457361e-05,0.003361218,1.161616e-13,7.892947e-10,7.946728e-10,8.215762e-10,8.215762e-10,7.889355e-10,7.519945e-10,0.7717246,-2.17009,-2.495817,-1.881351
-0.0001524246,-0.002020116,8.457754e-05,0.003376098,1.161936e-13,7.922098e-10,7.980205e-10,8.243057e-10,8.243057e-10,7.914091e-10,7.551039e-10,0.7749459,-2.120072,-2.427936,-1.84399
-0.0001517834,-0.002011875,8.467195e-05,0.003376561,1.162059e-13,7.93089e-10,7.990233e-10,8.251087e-10,8.251087e-10,7.921665e-10,7.560576e-10,0.7750723,-2.074855,-2.367976,-1.809497
-0.0001501317,-0.002005693,8.547974e-05,0.003379568,1.162107e-13,7.95462e-10,8.017314e-10,8.273298e-10,8.273298e-10,7.942113e-10,7.585754e-10,0.7757173,-2.03352,-2.31421,-1.777405
-0.0001488182,-0.001995481,8.555209e-05,0.003412241,1.162215e-13,7.974481e-10,8.039916e-10,8.291944e-10,8.291944e-10,7.95899e-10,7.607074e-10,0.782579,-1.995393,-2.26542,-1.747353
-0.0001485141,-0.001994724,8.573754e-05,0.003414177,1.162228e-13,7.979251e-10,8.045622e-10,8.296079e-10,8.296079e-10,7.963053e-10,7.61225e-10,0.7830646,-1.959964,-2.220714,-1.719061
-0.0001481842,-0.001993192,8.582061e-05,0.003421706,1.162774e-13,7.984647e-10,8.051503e-10,8.301459e-10,8.301459e-10,7.968082e-10,7.617543e-10,0.784521,-1.926837,-2.179422,-1.692302
-0.0001479207,-0.00198611,8.617263e-05,0.003437499,1.163571e-13,7.988771e-10,8.056204e-10,8.305248e-10,8.305248e-10,7.971461e-10,7.622169e-10,0.7880058,-1.895698,-2.141026,-1.666892
-0.000146944,-0.001985894,8.785704e-05,0.003495162,1.164232e-13,8.005121e-10,8.074927e-10,8.320426e-10,8.320426e-10,7.985519e-10,7.639612e-10,0.8002442,-1.866296,-2.105119,-1.642681
-0.0001466858,-0.001983511,8.956129e-05,0.003549058,1.165058e-13,8.00949e-10,8.079522e-10,8.324785e-10,8.324785e-10,7.989613e-10,7.644039e-10,0.8115105,-1.838424,-2.071373,-1.619542
-0.0001459021,-0.001980746,9.093199e-05,0.003590197,1.165318e-13,8.023183e-10,8.09534e-10,8.3375e-10,8.3375e-10,8.001218e-10,7.658675e-10,0.8201299,-1.811911,-2.039523,-1.597367
-0.0001435516,-0.001977603,9.125786e-05,0.003599632,1.165497e-13,8.066854e-10,8.145545e-10,8.377997e-10,8.377997e-10,8.038316e-10,7.705557e-10,0.8221034,-1.786613,-2.009347,-1.576066
-0.0001425656,-0.001977059,9.176438e-05,0.003613851,1.166161e-13,8.086546e-10,8.167823e-10,8.396615e-10,8.396615e-10,8.055262e-10,7.726485e-10,0.8250738,-1.76241,-1.980663,-1.55556
-0.0001424153,-0.001976187,9.211656e-05,0.003623634,1.166614e-13,8.089373e-10,8.171053e-10,8.399309e-10,8.399309e-10,8.05762e-10,7.72951e-10,0.8272776,-1.739198,-1.953317,-1.535781
-0.0001420444,-0.001975015,9.275908e-05,0.003642662,1.166658e-13,8.097228e-10,8.179926e-10,8.406606e-10,8.406606e-10,8.064466e-10,7.737915e-10,0.8310389,-1.716886,-1.927176,-1.516668
-0.000141378,-0.001969345,9.364825e-05,0.003666234,1.166941e-13,8.11144e-10,8.196339e-10,8.419725e-10,8.419725e-10,8.076644e-10,7.753051e-10,0.8359607,-1.695398,-1.902128,-1.498171
-0.0001411805,-0.001969021,9.391136e-05,0.003673679,1.168215e-13,8.115676e-10,8.201097e-10,8.423725e-10,8.423725e-10,8.08029e-10,7.757595e-10,0.8376163,-1.674665,-1.878074,-1.480243
-0.000140569,-0.001961403,9.411922e-05,0.003679162,1.168653e-13,8.129162e-10,8.21673e-10,8.436244e-10,8.436244e-10,8.0915e-10,7.772172e-10,0.8387288,-1.654628,-1.85493,-1.462842
-0.0001403914,-0.001960588,9.429276e-05,0.003683933,1.168733e-13,8.133074e-10,8.220993e-10,8.439803e-10,8.439803e-10,8.095149e-10,7.776351e-10,0.8397474,-1.635234,-1.832622,-1.445933
-0.0001397459,-0.001955536,9.44591e-05,0.003688453,1.168972e-13,8.147943e-10,8.237696e-10,8.453923e-10,8.453923e-10,8.108037e-10,7.792117e-10,0.840688,-1.616436,-1.811083,-1.429482
-0.0001392983,-0.001953994,9.44684e-05,0.003689325,1.169493e-13,8.15842e-10,8.249834e-10,8.463822e-10,8.463822e-10,8.1167e-10,7.803323e-10,0.8408002,-1.598193,-1.790255,-1.41346
-0.0001387462,-0.001953123,9.478478e-05,0.003697126,1.16973e-13,8.172019e-10,8.26542e-10,8.476406e-10,8.476406e-10,8.128585e-10,7.817665e-10,0.8424308,-1.580467,-1.770088,-1.39784
-0.0001378065,-0.001952744,9.543891e-05,0.003714687,1.169743e-13,8.195276e-10,8.29158e-10,8.498311e-10,8.498311e-10,8.148635e-10,7.842578e-10,0.8460772,-1.563224,-1.750533,-1.382597
-0.0001367439,-0.001952324,9.575172e-05,0.00372273,1.169785e-13,8.223463e-10,8.323697e-10,8.524879e-10,8.524879e-10,8.172834e-10,7.872443e-10,0.8477012,-1.546433,-1.73155,-1.367711
-0.0001361093,-0.001946619,9.630546e-05,0.003736829,1.169896e-13,8.240985e-10,8.343922e-10,8.541194e-10,8.541194e-10,8.187729e-10,7.891096e-10,0.8507277,-1.530068,-1.713102,-1.353159
-0.0001360143,-0.001943557,9.651405e-05,0.003742758,1.170054e-13,8.243866e-10,8.346995e-10,8.543889e-10,8.543889e-10,8.190193e-10,7.894386e-10,0.851894,-1.514102,-1.695155,-1.338925
-0.0001357514,-0.001943004,9.662477e-05,0.003745925,1.170529e-13,8.250611e-10,8.354782e-10,8.550307e-10,8.550307e-10,8.196018e-10,7.901336e-10,0.8524913,-1.498513,-1.677677,-1.324992
-0.0001356997,-0.001942519,9.699594e-05,0.003755172,1.170932e-13,8.252078e-10,8.356504e-10,8.551545e-10,8.551545e-10,8.197342e-10,7.902921e-10,0.8544635,-1.48328,-1.660641,-1.311343
-0.0001355039,-0.001939796,9.727173e-05,0.003762649,1.171589e-13,8.257428e-10,8.362522e-10,8.556544e-10,8.556544e-10,8.201773e-10,7.908872e-10,0.855951,-1.468384,-1.644022,-1.297964
-0.0001350616,-0.001936745,9.736334e-05,0.003764169,1.171625e-13,8.270287e-10,8.377011e-10,8.568793e-10,8.568793e-10,8.212707e-10,7.922637e-10,0.8564971,-1.453806,-1.627796,-1.284842
-0.0001347634,-0.001936077,9.815028e-05,0.003784641,1.171866e-13,8.279298e-10,8.387349e-10,8.577095e-10,8.577095e-10,8.22066e-10,7.932088e-10,0.8606153,-1.439531,-1.611941,-1.271965
-0.0001344981,-0.001935215,9.840185e-05,0.003791082,1.172277e-13,8.28686e-10,8.395947e-10,8.584302e-10,8.584302e-10,8.227111e-10,7.940078e-10,0.8619448,-1.425544,-1.596439,-1.259321
-0.0001344895,-0.001934371,9.843125e-05,0.003792321,1.173157e-13,8.28725e-10,8.396477e-10,8.584622e-10,8.584622e-10,8.227403e-10,7.940498e-10,0.8620938,-1.41183,-1.581271,-1.2469
-0.0001343692,-0.001924245,9.88611e-05,0.003802883,1.174425e-13,8.291411e-10,8.401185e-10,8.58859e-10,8.58859e-10,8.231119e-10,7.944751e-10,0.8643775,-1.398377,-1.566419,-1.234691
-0.0001342157,-0.001923443,9.898702e-05,0.003806207,1.174775e-13,8.295546e-10,8.405721e-10,8.592475e-10,8.592475e-10,8.234692e-10,7.949295e-10,0.8650341,-1.385172,-1.551869,-1.222686
-0.0001340373,-0.001921759,9.901283e-05,0.00380746,1.174922e-13,8.301121e-10,8.412111e-10,8.597687e-10,8.597687e-10,8.239469e-10,7.955216e-10,0.8652017,-1.372204,-1.537607,-1.210876
-0.0001339769,-0.001921439,9.917493e-05,0.00381146,1.175268e-13,8.302856e-10,8.413962e-10,8.599404e-10,8.599404e-10,8.240783e-10,7.957275e-10,0.8660418,-1.359463,-1.523618,-1.199252
-0.0001334714,-0.001921252,9.932389e-05,0.0038148,1.175416e-13,8.31867e-10,8.432123e-10,8.614268e-10,8.614268e-10,8.254496e-10,7.973793e-10,0.8667292,-1.346939,-1.50989,-1.187808
-0.0001334608,-0.001917954,9.954532e-05,0.003820541,1.175826e-13,8.319135e-10,8.432623e-10,8.61464e-10,8.61464e-10,8.254846e-10,7.974432e-10,0.8679111,-1.334622,-1.496412,-1.176536
