 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
11
#Number of samples in each tail
7
#Measure names
p_avg,p_max,tp_avg,tp_cout,tp_cout_fall,tp_cout_rise,tp_max,tp_s8,tp_s8_fall,tp_s8_rise,vdd_actual
#Measure values in left tail
1.1720370e-04,2.1236560e-03,4.8502450e-10,5.1703310e-10,5.1573090e-10,5.1833530e-10,5.1833530e-10,4.5301590e-10,4.6116770e-10,4.4486410e-10,6.4735040e-01
1.5045750e-04,2.6093600e-03,4.8702500e-10,5.1916980e-10,5.1800940e-10,5.2033010e-10,5.2033010e-10,4.5488020e-10,4.6281780e-10,4.4694260e-10,7.2224030e-01
1.5177430e-04,2.6274560e-03,4.8827760e-10,5.2050760e-10,5.1945870e-10,5.2155650e-10,5.2155650e-10,4.5604760e-10,4.6383270e-10,4.4826250e-10,7.2512110e-01
1.5406520e-04,2.6635990e-03,4.9974470e-10,5.3276680e-10,5.3244580e-10,5.3308780e-10,5.3308780e-10,4.6672260e-10,4.7336150e-10,4.6008380e-10,7.3010040e-01
1.6568440e-04,2.8376070e-03,5.0165460e-10,5.3480270e-10,5.3458380e-10,5.3502160e-10,5.3502160e-10,4.6850650e-10,4.7498570e-10,4.6202730e-10,7.5497720e-01
1.6830370e-04,2.8740420e-03,5.0559890e-10,5.3902120e-10,5.3902260e-10,5.3901970e-10,5.3902260e-10,4.7217670e-10,4.7829300e-10,4.6606040e-10,7.6043930e-01
1.7360430e-04,2.9560720e-03,5.0899400e-10,5.4265050e-10,5.4281180e-10,5.4248930e-10,5.4281180e-10,4.7533750e-10,4.8115290e-10,4.6952210e-10,7.7134880e-01
#Measure values in right tail
4.9326440e-04,7.4449900e-03,8.9205830e-10,9.5095330e-10,9.5805140e-10,9.4385510e-10,9.5805140e-10,8.3316330e-10,8.1569980e-10,8.5062680e-10,1.2175752e+00
5.0556320e-04,7.6645860e-03,9.1288690e-10,9.7312710e-10,9.8047970e-10,9.6577460e-10,9.8047970e-10,8.5264670e-10,8.3385770e-10,8.7143560e-10,1.2267635e+00
5.2154830e-04,7.9151850e-03,9.2373360e-10,9.8469680e-10,9.9220080e-10,9.7719280e-10,9.9220080e-10,8.6277050e-10,8.4331460e-10,8.8222640e-10,1.2377185e+00
5.2994690e-04,8.0658070e-03,9.7730660e-10,1.0417220e-09,1.0499300e-09,1.0335140e-09,1.0499300e-09,9.1289150e-10,8.8986550e-10,9.3591760e-10,1.2431136e+00
5.9512640e-04,8.7099560e-03,9.8889020e-10,1.0540630e-09,1.0624190e-09,1.0457070e-09,1.0624190e-09,9.2371760e-10,8.9992090e-10,9.4751420e-10,1.2774196e+00
6.0415560e-04,9.0065580e-03,9.9574310e-10,1.0613600e-09,1.0698170e-09,1.0529030e-09,1.0698170e-09,9.3012590e-10,9.0585730e-10,9.5439450e-10,1.2813725e+00
6.1954550e-04,9.1694110e-03,1.2216160e-09,1.3014070e-09,1.3130310e-09,1.2897830e-09,1.3130310e-09,1.1418260e-09,1.0999980e-09,1.1836530e-09,1.2877390e+00
#Index values in left tail
253,253,254,254,254,254,254,254,254,254,253
475,475,373,373,373,373,373,373,373,373,475
234,234,11,11,11,11,11,11,11,11,234
462,462,113,113,113,113,113,113,113,113,462
38,38,264,264,264,264,264,264,264,264,38
270,270,133,133,133,133,133,133,133,133,270
365,365,314,314,314,314,314,314,314,314,365
#Index values in right tail
314,314,365,365,365,365,365,365,365,365,314
133,133,270,270,270,270,270,270,270,270,133
264,264,38,38,38,38,38,38,38,38,264
113,113,462,462,462,462,462,462,462,462,113
11,11,234,234,234,234,234,234,234,234,11
373,373,475,475,475,475,475,475,475,475,373
254,254,253,253,253,253,253,253,253,253,254
