 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
12
#Number of samples in each tail
7
#Measure names
i_avg,i_peak,p_avg,p_max,pdp,tp_avg,tp_cout_fall,tp_cout_rise,tp_max,tp_s7_fall,tp_s7_rise,vdd_actual
#Measure values in left tail
-2.2508210e-04,-2.1839940e-03,8.0913180e-05,2.8155880e-03,1.1597560e-13,7.4548630e-10,7.4505790e-10,7.8035190e-10,7.8035190e-10,7.5095560e-10,7.0557990e-10,6.4735040e-01
-2.1642390e-04,-2.1659760e-03,8.0951540e-05,3.1334960e-03,1.1598130e-13,7.4871340e-10,7.4868800e-10,7.8341390e-10,7.8341390e-10,7.5377380e-10,7.0897810e-10,7.2224030e-01
-2.1138630e-04,-2.1559760e-03,8.1114010e-05,3.1470260e-03,1.1600530e-13,7.5072090e-10,7.5092190e-10,7.8532440e-10,7.8532440e-10,7.5556270e-10,7.1107460e-10,7.2512110e-01
-1.7706290e-04,-2.0921900e-03,8.2587860e-05,3.1688350e-03,1.1601120e-13,7.6865590e-10,7.7121520e-10,8.0222890e-10,8.0222890e-10,7.7113300e-10,7.3004630e-10,7.3010040e-01
-1.7299430e-04,-2.0775490e-03,8.3067320e-05,3.2830430e-03,1.1602410e-13,7.7161440e-10,7.7454700e-10,8.0502990e-10,8.0502990e-10,7.7372690e-10,7.3315350e-10,7.5497720e-01
-1.6564660e-04,-2.0560170e-03,8.4167450e-05,3.3088480e-03,1.1604550e-13,7.7764200e-10,7.8141380e-10,8.1066810e-10,8.1066810e-10,7.7893280e-10,7.3955360e-10,7.6043930e-01
-1.6032170e-04,-2.0272070e-03,8.4211500e-05,3.3594270e-03,1.1615730e-13,7.8280970e-10,7.8731250e-10,8.1549670e-10,8.1549670e-10,7.8335270e-10,7.4507690e-10,7.7134880e-01
#Measure values in right tail
-7.9485460e-05,-1.0015910e-03,2.1365780e-04,5.7332500e-03,1.7423720e-13,1.3498460e-09,1.3997100e-09,1.3812620e-09,1.3997100e-09,1.2946910e-09,1.3237210e-09,1.2175752e+00
-7.8096930e-05,-9.8049150e-04,2.2168380e-04,5.7909610e-03,1.7971200e-13,1.3806500e-09,1.4315150e-09,1.4134640e-09,1.4315150e-09,1.3236930e-09,1.3539280e-09,1.2267635e+00
-7.7394830e-05,-9.6952290e-04,2.3256400e-04,5.8600190e-03,1.8722100e-13,1.3967430e-09,1.4480980e-09,1.4303190e-09,1.4480980e-09,1.3388490e-09,1.3697050e-09,1.2377185e+00
-7.4178390e-05,-9.2601000e-04,2.3852990e-04,5.8943520e-03,1.9135560e-13,1.4760220e-09,1.5294690e-09,1.5136300e-09,1.5294690e-09,1.4138370e-09,1.4471540e-09,1.2431136e+00
-7.3536460e-05,-9.1954380e-04,2.8829850e-04,6.1136010e-03,2.2640790e-13,1.4931630e-09,1.5470040e-09,1.5316550e-09,1.5470040e-09,1.4301090e-09,1.4638820e-09,1.2774196e+00
-7.3159560e-05,-9.1637530e-04,2.9561840e-04,6.1393610e-03,2.3159160e-13,1.5032780e-09,1.5572920e-09,1.5423540e-09,1.5572920e-09,1.4396890e-09,1.4737780e-09,1.2813725e+00
-6.2435660e-05,-7.7823770e-04,3.0810150e-04,6.1807600e-03,2.4042760e-13,1.8370450e-09,1.8962330e-09,1.8965830e-09,1.8965830e-09,1.7574960e-09,1.7978700e-09,1.2877390e+00
#Index values in left tail
254,254,475,253,10,254,254,254,254,254,254,253
373,373,234,475,394,373,373,373,373,373,373,475
11,11,462,234,315,11,11,11,11,11,11,234
113,113,38,462,171,113,113,113,113,113,113,462
264,264,270,38,32,264,264,264,264,264,264,38
133,133,365,270,432,133,133,133,133,133,133,270
314,314,200,365,273,314,314,314,314,314,314,365
#Index values in right tail
365,365,314,314,314,365,365,365,365,365,365,314
270,270,133,133,133,270,270,270,270,270,270,133
38,38,264,264,264,38,38,38,38,38,38,264
462,462,113,113,113,462,462,462,462,462,462,113
234,234,11,11,11,234,234,234,234,234,234,11
475,475,373,373,373,475,475,475,475,475,475,373
253,253,254,254,254,253,253,253,253,253,253,254
